,0
0,anqi_alpha67_5_1
1,anqi_alpha67_5_23_7_6
2,boyang_ALPHA11
3,boyang_ALPHA19
4,boyang_ALPHA21
5,boyang_ALPHA23
6,boyang_ALPHA27
7,boyang_ALPHA2
8,boyang_ALPHA31
9,boyang_ALPHA37
10,boyang_ALPHA41
11,boyang_ALPHA7
12,caicheng_ccalpha25_3
13,caicheng_ccalpha28
14,caicheng_ccalpha31
15,caicheng_ccalpha33_2
16,caicheng_ccalpha34
17,caicheng_ccalpha35
18,caicheng_ccalpha36_2
19,caicheng_ccalpha38
20,caicheng_ccalpha39
21,caicheng_ccalpha44
22,caicheng_ccalpha48
23,caicheng_ccalpha49
24,caicheng_ccalpha51
25,caicheng_ccalpha54_1
26,caicheng_ccalpha57
27,caicheng_ccalpha62_2
28,caicheng_ccalpha63
29,caicheng_ccalpha64
30,caicheng_ccalpha72_1
31,caicheng_cheng_alpha21_2
32,caicheng_cheng_alpha22
33,caicheng_cheng_alpha6
34,caicheng_cheng_alpha7_2
35,caicheng_cheng_alpha9
36,dc_20170412-5
37,dc_20170418-2
38,dc_20170418
39,dc_20170423-2
40,dc_20170424
41,dc_20170426
42,dc_20170501
43,dc_20170506
44,dc_20170508_4
45,dc_20170511_1
46,dc_20170511
47,dc_5m_diff_11
48,dc_5m_diff_2
49,dc_5m_fit_11_1
50,dc_5m_fit_11_7
51,dc_5m_fit_11_8
52,dc_5m_fit_1
53,dc_5m_morning_1
54,dc_abcorr1_absdiff2ret_hhv10osc5_5_1
55,dc_abcorr1_absdiff2ret_ma10dx_5_1
56,dc_abcorr1_absdiff2tr_ma10deltaoc_5_1
57,dc_abcorr1_dema5ret_hhv10ret_5_1
58,dc_abcorr1_dema5ret_llv10ll_5_1
59,dc_abcorr1_dema5ret_stddv5dx_5_1
60,dc_abcorr1_dema5ret_stddv5tov_5_1
61,dc_abcorr1_diff1cc_absdiff2asi_5_1
62,dc_abcorr1_diff1cc_stddv5bias6_5_1
63,dc_abcorr1_diff1cc_stddv5rvi_5_1
64,dc_abcorr1_llv10ret_emaema5br5_5_1
65,dc_abcorr1_llv10ret_ma10ret_5_1
66,dc_abcorr1_relratio5ret_wma5cc_5_1
67,dc_abcorr1_ret_llv10deltaoc_5_1
68,dc_abcorr1_ret_stddv5mf_5_1
69,dc_abcorr1_stddv5cc_dema5ndi_5_1
70,dc_abcorr1_stddv5cc_ema5tvr1_5_1
71,dc_abcorr1_stddv5cc_hhv10sobv1_5_1
72,dc_abcr18_11
73,dc_abcr18_18
74,dc_abcr18_19
75,dc_abcr18_4
76,dc_abcr18_5
77,dc_abcr18_9
78,dc_Alphalm1
79,dc_Alphalm2
80,dc_Alphalm3
81,dc_Alphalm4
82,dc_Alphasimu1
83,dc_cc2
84,dc_cci
85,dc_chl2
86,dc_chl
87,dc_corgtr
88,dc_corr1_rr20f
89,dc_corrr
90,dc_cr116_d202
91,dc_cr116_db10
92,dc_cr116_db5
93,dc_cr116_dem10
94,dc_cr116_kb560
95,dc_cr116_rr20b10
96,dc_cr116_skb560
97,dc_cr116_so16
98,dc_cr116_tn5
99,dc_csc
100,dc_cwacohl
101,dc_dccc
102,dc_dslpc2
103,dc_dslpc
104,dc_dslpge
105,dc_dsto
106,dc_dto
107,dc_dx
108,dc_finance_1
109,dc_finance_2
110,dc_gap1
111,dc_gv
112,dc_indexprice_6
113,dc_int
114,dc_kdl
115,dc_mfi1
116,dc_mfi2
117,dc_moneyflow_3
118,dc_moneyflow_4
119,dc_moneyflow_7
120,dc_moneyflow_8
121,dc_moneyflow_9
122,dc_mwahlr
123,dc_ohlc
124,dc_osc1
125,dc_osc
126,dc_pdre5
127,dc_pdrh
128,dc_pe
129,dc_pgre5
130,dc_posgrsie2
131,dc_posgrsil2
132,dc_posgrsio2
133,dc_posr
134,dc_prc4
135,dc_prc
136,dc_pret
137,dc_pt16n_abad2_new
138,dc_pt16n_abad2
139,dc_pt16n_kf10
140,dc_pt16n_krs10
141,dc_pt16n_rr2m5
142,dc_ptn1
143,dc_ptn2
144,dc_repsd
145,dc_rtr2
146,dc_rtr
147,dc_sclce20
148,dc_sclcpe5
149,dc_sdle5
150,dc_sdoh
151,dc_sdol2
152,dc_secmom
153,dc_secrev2
154,dc_skew
155,dc_slpmc
156,dc_slpme2
157,dc_slpme4
158,dc_slpme
159,dc_slpml2
160,dc_slpml
161,dc_slpmo
162,dc_snap2items_10
163,dc_snap2items_11
164,dc_snap2items_12
165,dc_snap2items_16
166,dc_snap2items_17
167,dc_snap2items_1
168,dc_snap2items2_10
169,dc_snap2items2_16
170,dc_snap2items2_18
171,dc_snap2items2_19
172,dc_snap2items2_1
173,dc_snap2items_22
174,dc_snap2items2_3
175,dc_snap2items2_4
176,dc_snap2items_25
177,dc_snap2items_27
178,dc_snap2items_28
179,dc_snap2items_29
180,dc_snap2items2_9
181,dc_snap2items_2
182,dc_snap2items_30
183,dc_snap2items3_10
184,dc_snap2items3_12
185,dc_snap2items3_13
186,dc_snap2items_31
187,dc_snap2items3_1
188,dc_snap2items_32
189,dc_snap2items_33
190,dc_snap2items_34
191,dc_snap2items3_4
192,dc_snap2items_35
193,dc_snap2items3_5
194,dc_snap2items3_6
195,dc_snap2items_37
196,dc_snap2items3_7
197,dc_snap2items_38
198,dc_snap2items3_9
199,dc_snap2items_3
200,dc_snap2items_40
201,dc_snap2items_41
202,dc_snap2items_44
203,dc_snap2items_45
204,dc_snap2items_4
205,dc_snap2items_51
206,dc_snap2items_52
207,dc_snap2items_54
208,dc_snap2items_55
209,dc_snap2items_5
210,dc_snap2items_8
211,dc_snap2itemsgrp_10
212,dc_snap2itemsgrp_12
213,dc_snap2itemsgrp_14
214,dc_snap2itemsgrp_16
215,dc_snap2itemsgrp_4
216,dc_snap2itemsgrp_6
217,dc_snap2itemsgrp_9
218,dc_snap2itemsmkt_11
219,dc_snap2itemsmkt_15
220,dc_snap2itemsmkt_18
221,dc_snap2itemsmkt_3
222,dc_snap2itemsmkt_9
223,dc_snapcorr_1
224,dc_snapcorr2items_6
225,dc_snapcorr_3
226,dc_snapcorr_5
227,dc_snapcorrmkt_1
228,dc_snapcorrmkt_2
229,dc_snapcorrmkt_5
230,dc_snapcorrmkt_6
231,dc_snapshot2_4
232,dc_snapshot2_5
233,dc_snapshot2_6
234,dc_snapshot_2
235,dc_snapshot_3
236,dc_snapshot_6
237,dc_special5min_2
238,dc_sxb_cdhl
239,dc_sxb_cdltr
240,dc_sxb_cdohl
241,dc_sxb_cdrr
242,dc_sxb_cdtrhl
243,dc_sxb_cmhdr
244,dc_sxb_cotp
245,dc_sxb_crmgl
246,dc_sxb_kmfv
247,dc_sxb_pkmr
248,dc_sxb_posmdc
249,dc_sxb_sst
250,dc_sxb_udhl
251,dc_sxb_utl
252,dc_sxb_zlr
253,dc_udc
254,dc_udmr
255,dc_udr
256,dc_unse5
257,dc_vosc1
258,dc_vr1
259,dc_windDaily_1
260,dc_windDaily_2
261,dc_windDaily_5
262,dc_windDaily_7
263,demei_combine_180729_7
264,demei_combine_180801_7
265,demei_combine2
266,demei_combine3
267,demei_combine4
268,demei_combine5
269,demei_combine6
